,,,,,tRun,pBrakeTotal,rPedal,vCar
11.25708961,0.629226484,0,57.32807685,,,,,
11.32444668,0.597017109,0,54.67523092,,,,,
11.3951292,0.544388594,0,52.07308685,,,,,
11.4690485,0.45942207,0,49.65175357,,,,,
11.54570675,0.340196133,0,47.61931882,,,,,
11.62325287,0.087930127,0,46.17593619,,,,,
11.70049,0,100,46.54541641,,,,,
11.77747726,0,100,46.54706779,,,,,
11.85311604,0,100,46.84730673,,,,,
11.92577171,0,100,48.21238781,,,,,
11.99487114,0,100,50.74975035,,,,,
12.06341934,0,100,53.30704621,,,,,
12.1349535,0.461381484,0,51.58577492,,,,,
12.21009159,0.493167266,0,48.92789932,,,,,
12.28807545,0.337052461,0,46.76459004,,,,,
12.36687946,0.075226938,0,45.43696888,,,,,
12.44536686,0,100,45.80475652,,,,,
12.52322769,0,100,45.80475652,,,,,
12.60098934,0,100,46.54110428,,,,,
12.68187904,0.327760625,0,45.92444561,,,,,
12.76788807,0.481268555,0,42.96400333,,,,,
12.85596371,0.162525117,0,40.63368484,,,,,
12.94364071,0,100,41.00316849,,,,,
13.03104305,0,100,41.0050293,,,,,
13.1160965,0,100,41.26046809,,,,,
13.19569397,0,100,43.27639589,,,,,
13.26952744,0,100,47.05539792,,,,,
13.34102345,0,100,50.32844217,,,,,
13.41258144,0,100,50.24025293,,,,,
13.48402596,0,100,50.24025293,,,,,
13.55535889,0,100,50.39922497,,,,,
13.62592506,0,100,50.39922497,,,,,
13.69437408,0,100,51.49345551,,,,,
13.76258659,0,100,53.55048588,,,,,
13.83379078,0.468867148,0,51.85910768,,,,,
13.90886784,0.535650859,0,49.12060279,,,,,
13.98762798,0.43606707,0,46.64950835,,,,,
14.06946278,0.315906289,0,44.64292579,,,,,
14.15300083,0.1516571,0,43.22006697,,,,,
14.23653412,0,100,42.85058332,,,,,
14.31970501,0,100,43.22480482,,,,,
14.40270805,0,100,43.22657637,,,,,
14.4847002,0,100,43.39885902,,,,,
14.56464291,0,100,44.29478649,,,,,
14.64207935,0,100,45.6474908,,,,,
14.71655464,0,100,47.20504189,,,,,
14.78736973,0,100,49.33994809,,,,,
14.85620594,0,100,52.19365827,,,,,
14.92686176,0.270273164,0,52.26056152,,,,,
